Date,NumMosquitos,WnvPresent
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,4,0
2007-05-29,2,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,2,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,2,0
2007-05-29,3,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,3,0
2007-05-29,5,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,2,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,1,0
2007-05-29,1,0
2007-06-05,3,0
2007-06-05,5,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,3,0
2007-06-05,4,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,9,0
2007-06-05,3,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,3,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,7,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,4,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,3,0
2007-06-05,3,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,10,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-05,3,0
2007-06-05,8,0
2007-06-05,1,0
2007-06-05,2,0
2007-06-05,1,0
2007-06-05,1,0
2007-06-26,1,0
2007-06-26,4,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,4,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,6,0
2007-06-26,2,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,2,0
2007-06-26,5,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,2,0
2007-06-26,2,0
2007-06-26,2,0
2007-06-26,4,0
2007-06-26,2,0
2007-06-26,2,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,9,0
2007-06-26,2,0
2007-06-26,3,0
2007-06-26,10,0
2007-06-26,19,0
2007-06-26,1,0
2007-06-26,20,0
2007-06-26,25,0
2007-06-26,6,0
2007-06-26,1,0
2007-06-26,3,0
2007-06-26,4,0
2007-06-26,1,0
2007-06-26,6,0
2007-06-26,1,0
2007-06-26,2,0
2007-06-26,3,0
2007-06-26,6,0
2007-06-26,1,0
2007-06-26,4,0
2007-06-26,1,0
2007-06-26,1,0
2007-06-26,2,0
